# species annotated 	correction	domestic/wild status

# vaguely poultry 
poultry	poultry	domestic
domesticbird	domestic_bird	domestic
domesticpoultry	poultry	domestic
domestic_bird	domestic_bird	domestic

# chicken
chicken	chicken	domestic
chiken	chicken	domestic
gallus_gallus	chicken	domestic
rooster	rooster	domestic
silkychicken	silkie_chicken	domestic
village_chicken	chicken	domestic
villagechicken	chicken	domestic
waterchicken	Common_moorhen	wild

# duck
# apparently only mallards and muscovy ducks have been domesticated. cool!
americanblackduck	American_black_duck	wild
anasacuta	Northern_pintail	wild
anasplatyrhynchos	mallard	
baikalteal	baikal_teal	wild
black_duck	American_black_duck	wild
blackduck	American_black_duck	wild
blacknestedgrebe	black-necked_grebe	wilds
common_goldeneye	common_goldeneye	wild
commongoldeneye	common_goldeneye	wild
common_pochard	common_pochard	wild
commonpochard	common_pochard	wild
dack	duck	
domestic_duck	duck	domestic
domesticduck	duck	domestic
domestic_green_winged_teal	green-winged_teal	domestic
domesticgreen-wingedteal	green-winged_teal	domestic
domesticmallardduck	mallard	domestic
duck	duck	
gadwall_duck	Gadwall	wild
gadwallduck	Gadwall	wild
goldeneyeduck	Goldeneye	wild
goosander	goosander	wild
greaterscaup	greater_scaup	wild
europeanteal	Eurasian_teal	wild
mallard	mallard	
mallard_duck	mallard	
mallardduck	mallard	
mandarinduck	Mandarin_duck	wild
mandarin_duck	Mandarin_duck	wild
mergusalbellus	smew	wild
migratoryduck	duck	wild
muscovy	Muscovy_duck	
muscovyduck	Muscovy_duck	
muscovy_duck	Muscovy_duck	
northernpintail	Northern_pintail	wild
pekingduck	Peking_duck	domestic
pintail	Northern_pintail	wild
pochard	common_pochard	wild
rbpochard	red-chested_pochard	wild
rubbyshelduck	Ruddy_shelduck	wild
ruddy_shelduck	Ruddy_shelduck	wild
ruddyshelduck	Ruddy_shelduck	wild
teal	teal	wild
tufted_duck	Tufted_duck	wild
tuftedduck	Tufted_duck	wild
wild_duck	duck	wild
wildduck	duck	wild
wood_duck	Wood_duck	wild
woodduck	Wood_duck	wild
yellow_billed_duck	yellow-billed_duck	wild
yellowbilledduck	yellow-billed_duck	wild

# geese and swans
# apparently, there are 2 main types of geese that have been domesticated. The Greylag goose (Anser anser) and the Swan goose (Anser cygnoides)
goose	goose	
geese	goose	
bar_headed_goose	bar-headed_goose	wild
bar-headedgoose	bar-headed_goose	wild
barheadedgoose	bar-headed_goose	wild
bean_goose	bean_goose	wild
beangoose	bean_goose	wild
black-headedgoose	black-headed_goose	wild
canada_goose	canada_goose	wild
canadagoose	canada_goose	wild
cygnus_cygnus	whooper_swan	wild
cygnuscygnus	whooper_swan	wild
cygnus_olor	mute_swan	wild
cygnusolor	mute_swan	wild
domesticgoose	goose	domestic
greylaggoose	greylag_goose	
mute_swan	mute_swan	wild
muteswan	mute_swan	wild
tundraswan	tundra_swan	wild
whitefrontedgoose	greater_white-fronted_goose	wild
whistlingswan	tundra_swan	wild
whooper_swan	whooper_swan	wild
whooperswan	whooper_swan	wild
whoopingswan	whooper_swan	wild
wildgoose	goose	wild
wildswan	swan	wild


# other fowl 
fowl	fowl	
goldenpheasant	golden_pheasant	
greenpeafowl	green_peafowl	
guinea_fowl	guinea_fowl	
guineafowl	guinea_fowl	
juvenileswan	swan	wild
kalijpheasant	kalij_pheasant	
kaljipheasant	kalij_pheasant
peafowl	peafowl	
pheasant	pheasant	
quail	quail	
swan	swan	
silverpheasant	silver_pheasant	
turkey	turkey	
waterfowl	waterfowl	
whitepeafowl	white_peafowl	
wildfowl	fowl	wild

# totally unclear 
gh		
dk	duck	
gf	guinea_fowl	
bird	bird	
avian	bird	
ck	chicken	
gs	goose	
ph	pheasant	
eg	egg	domestic
sck	Silkie_chicken	domestic
qa	quail	
environment	environment	environment

# wild birds
american_green_winged_teal	American_green_winged_teal	wild
americangreen-wingedteal	American_green_winged_teal	wild
american_wigeon	American_wigeon	wild
americanwigeon	American_wigeon	wild
ardeacinerea	Grey_heron	wild
ardeacinera	Grey_heron	wild
babbler	Old_World_babbler	wild
barn_swallow	barn_swallow	wild
barnswallow	barn_swallow_wild
black-crownednightheron	Black-crowned_night_heron	wild
black_crowned_night_heron	Black-crowned_night_heron	wild
black-headedgull	black-headed_gull	wild
